小区,count,lng,lat,上线时间,建筑类型,价格类型,显示价格,户型数量,区,地段,地址,ID
领第漫生活国际商铺,40000,121.288081,31.17582,2015-04-11,,均价,均价,0,青浦,徐泾,沪青平公路1818弄,252609
万科翡翠公园商铺,115857,121.61566245838002,31.184700559265,2017-09-19,,总价,总价,12,浦东,张江,荣科路277弄（近百业路）,430810
大华伊斐墅,218446,121.532578,31.178472999999997,2016-10-08,独栋别墅，联排别墅,总价,总价,3,浦东,花木,华鹏路390弄,389723
御龙锦园,22000,121.361038,30.76564,2016-09-30,高层,均价,均价,7,金山,金山新城,海丰路128号,246862
旭辉铂悦西郊,214285,121.191604,31.264619,2017-04-02,独栋别墅,总价,总价,4,嘉定,安亭,博园路6155弄,236986
华润中央公园,50000,121.31971200000001,31.320140000000002,2016-05-21,小高层,均价,均价,12,嘉定,南翔,浩翔路98弄,237244
恒大御景湾,48000,121.286501,31.324498,2016-04-02,多层，高层，花园洋房,均价,均价,10,嘉定,马陆,育英南街55弄,383842
锦汇华庭,28000,121.16282700000001,30.895813,2012-03-18,多层，小高层，高层,均价,均价,3,金山,朱泾,众安街1088弄,247551
金大元御珑宫廷,77777,121.656415,31.208326,2016-05-01,联排别墅，小高层,总价,总价,3,浦东,唐镇,唐丰路881弄,248351
嘉宝梦之缘景庭,43000,121.254951,31.343306,2016-08-26,多层，小高层，高层，花园洋房,均价,均价,13,嘉定,嘉定新城,云屏路1033弄,400671
绿地海珀风华,45300,121.241256,31.139721,2015-09-10,独栋别墅，联排别墅，叠加别墅,均价,均价,7,青浦,赵巷,业煌路128弄,252605
美兰金色宝邸,35000,121.33913000000001,31.487910999999997,2017-10-26,独栋别墅，联排别墅，双拼别墅，多层，小高层，高层,均价,均价,5,宝山,罗泾,潘沪路188弄,247914
创融嘉天地,40000,121.26008149816002,31.348202891762,2016-03-11,,均价,均价,0,嘉定,嘉定新城,伊宁路合作路,252085
佘山东郡,45000,121.246536,31.108803,2017-05-12,独栋别墅,均价,均价,6,松江,佘山,古楼公路1269弄,221220
鹏欣一品漫城三期浅山别墅,77966,121.500234,31.122571,2012-03-01,联排别墅,总价,总价,2,闵行,浦江,浦星公路568弄,419207
尚景丽园,46000,121.580556,31.127118,2017-07-14,小高层，花园洋房,均价,均价,5,浦东,周康,梓营路155弄,418355
绿地中心二期,68000,121.46426706109,31.190345008355,2013-06-22,,均价,均价,2,徐汇,龙华,东安路562号,250093
同济创园,28000,121.49774199999999,31.339032,2018-05-30,,均价,均价,0,宝山,淞南,淞良路10号,411753
硅谷商墅,30000,121.66893547931002,31.034190034899996,2012-08-01,,均价,均价,0,浦东,新场,杨辉路800弄,413242
中展璞荟,60000,121.24718541545,31.063286874562003,2018-01-01,,均价,均价,0,松江,松江新城,广富林路798弄,400612
光大安石中心,65000,121.521302,31.262409,,,均价,均价,0,杨浦,东外滩,霍山路398号（近大连路）,429601
凯利·海华府,79800,121.52593300000001,31.179827000000003,2018-05-08,高层,均价,均价,4,浦东,北蔡,成山路1066号,409131
信义嘉庭,37100,121.280478,31.377990999999998,2018-04-26,高层,均价,均价,10,嘉定,嘉定镇,翁家宅路89弄，复华路28弄,251963
合生广富汇,55000,121.20152,31.072558,2018-01-16,联排别墅，花园洋房,均价,均价,5,松江,松江新城,银泽路3188弄,250798
日月光伯爵湾,30300,121.16319046411002,31.286079708488998,2018-05-07,叠加别墅，高层,均价,均价,2,嘉定,安亭,博园路8200弄,436907
阳光城·海悦府,12000,121.62152699517999,31.81370202133,2018-05-12,联排别墅，高层,均价,均价,4,上海周边,启东,华石路与通江路交汇处,430412
湖山香颂湾,31000,121.343883,30.754803999999996,2016-09-30,小高层，高层,均价,均价,5,金山,金山新城,龙轩路999弄，龙轩路869弄,252939
恒盛尚海湾二期,120000,121.46759499999999,31.185467,2016-12-25,小高层，高层,均价,均价,16,徐汇,龙华,凯滨路18弄,189944
淮海名邸,130000,121.4316,31.207268,2018-12-13,多层,均价,均价,9,长宁,虹桥路,安顺路,252941
南通恒大悦珑湾,8500,121.02504677188,31.923987694776002,2018-01-28,高层，花园洋房,均价,均价,6,上海周边,其他,南通通州区锡通科技产业园枫杨路与枫香路交汇处,429966
复地浦江中心,18000,121.524423,31.082056,2015-06-12,,均价,均价,3,闵行,浦江,联航路1505弄1-5号等,298335
凤凰城,50000,121.42287900000001,31.025961,2019-01-30,小高层,均价,均价,8,闵行,江川路,景谷中路58弄,249123
融信绿地国际,38000,121.286185,31.21578,2015-07-08,,均价,均价,3,闵行,华漕,盘阳路59弄,389777
御湖别墅,51111,121.248341,31.158259,2015-11-06,独栋别墅,总价,总价,9,青浦,赵巷,青平公路2558弄,237192
东海御庭,41012,121.779793,31.211321,2016-08-30,独栋别墅，联排别墅,总价,总价,5,浦东,川沙,华夏东路5888弄,237685
恒文星尚湾,42000,121.23634299999999,31.229019,2016-03-25,多层，小高层,均价,均价,10,青浦,华新镇,新凤中路899弄,246599
中鹰黑森林,120000,121.415654,31.275512,2014-09-30,小高层，高层,均价,均价,18,普陀,万里,新村路1717弄,189908
花园里,43000,121.268051,31.349836,2016-08-27,高层,均价,均价,3,嘉定,嘉定新城,德富路900弄,240822
华洲君庭,253846,121.61148,31.229605,2008-09-29,独栋别墅,总价,总价,6,浦东,张江,银柳路385弄,219849
绿波景园,36000,121.27781999999999,31.113698,2018-12-31,多层，小高层,均价,均价,5,松江,泗泾,沪松公路2972弄,202638
金臣别墅,120930,121.278352,31.210881,2014-11-08,独栋别墅,总价,总价,5,闵行,华漕,金光路801弄,249885
阳光城MODO商铺,120930,121.66261100000001,31.220619,2015-11-15,,总价,总价,0,浦东,唐镇,高科东路777号,263890
东郊壹号,366336,121.606699,31.227787,2010-07-18,独栋别墅,总价,总价,6,浦东,张江,银柳路58弄,237659
大发融悦,40000,121.092693,31.141872999999997,2017-04-26,多层，小高层，花园洋房,均价,均价,11,青浦,青浦新城,朱家角路158弄,252871
安澜西郊,91656,121.299656,31.161011,2015-09-20,独栋别墅,总价,总价,7,青浦,徐泾,徐南路678弄,252805
佳兆业城市广场,30000,121.281019,31.411469,2016-10-01,多层，高层，花园洋房,均价,均价,5,嘉定,嘉定镇,顺宁路501弄，启宁路421弄,250263
绿洲香格丽花园,48128,121.289452,31.427721999999996,2013-09-28,联排别墅，叠加别墅,总价,总价,3,嘉定,嘉定新城,启悦路358弄,237682
新江湾城首府别墅,105263,121.523872,31.339661,2013-08-30,联排别墅，双拼别墅，叠加别墅,总价,总价,5,杨浦,新江湾城,国秀路88弄,246800
绿城·黄浦湾,265151,121.51053,31.223782,2016-04-27,高层,总价,总价,10,黄浦,董家渡,中山南路566弄,200918
融信铂湾,45500,121.239337,31.143984999999997,2016-03-30,叠加别墅，小高层,总价,总价,4,青浦,赵巷,置鼎路889弄,250841
布里斯本1号,44262,122.50663366925,31.335857011738,,高层,总价,总价,2,上海周边,其他,1Cordelia St，South Brisbane， Australia,437260
尼德兰官邸,126865,121.587301,31.339321999999996,2017-11-30,叠加别墅，多层,总价,总价,6,浦东,外高桥,高荷路488号,249480
申亚花满庭,37500,121.559828,30.9891,2011-09-17,联排别墅，双拼别墅，多层，高层,均价,均价,12,奉贤,金汇,航南公路1981弄,237693
东郊罗兰别墅,130000,121.61363100000001,31.230453000000004,2016-09-01,独栋别墅,均价,均价,4,浦东,张江,金港路2280弄,253087
中海紫御别墅,140000,121.387553,31.232991,2016-03-30,独栋别墅，联排别墅，双拼别墅,均价,均价,2,普陀,长风,同普路689弄,245402
经纬·学士逸居家园,50000,121.41146699999999,31.330621999999998,2016-09-28,多层，小高层,均价,均价,7,宝山,上大,纬地路99弄,205003
明天华城,53000,121.58748500000002,31.107109,2016-08-13,高层,均价,均价,6,浦东,周康,康沈路2262弄，周星路500弄,193094
大宁·揽翠艺墅,115000,121.46541599999999,31.296511,2015-12-01,独栋别墅，联排别墅，叠加别墅,均价,均价,2,静安,大宁绿地,广延路1099弄,218816
晶苑四季御庭(四期),71095,121.343503,31.083965000000003,2015-09-26,独栋别墅，联排别墅，双拼别墅,总价,总价,6,松江,新桥,明华路888弄,235574
鹏欣一品漫城四期壹品别墅,85000,121.49520700000001,31.120846999999998,2014-04-12,联排别墅，小高层,均价,均价,3,闵行,浦江,芦恒路378弄,240501
复地御西郊,120000,121.36545100000001,31.205555,2015-08-30,多层,均价,均价,7,长宁,虹桥路,金浜路188弄,246500
海伦广场,25000,121.26635880949,31.328456984707,2015-04-25,,均价,均价,0,嘉定,马陆,崇文路1851弄,252334
步阳御江金都,36000,121.25038799999999,31.403347999999998,2015-11-15,小高层，高层,均价,均价,5,嘉定,嘉定新城,嘉唐公路88弄,237695
