小区,房屋数量,count,均价变动,lng,lat,地址,ID
贵族建材市场,1,6666,-0.233617,120.988764,31.405553,春晖路,884531
江海名都,2,5944,-0.001166,120.751310,32.099276,育才路,918446
阳光小区(南区),1,8988,,120.744388,30.792239,同心路422号,890294
东渡海派青城(别墅),2,34653,-0.001958,120.691920,31.435863,聚金路,889149
新城翡翠湾,4,13333,0.082224,120.885875,31.392568,古城路668号,884185
合生国际花园,6,9411,0.034517,120.994570,31.467101,迎周路99号,883526
垂虹家园,1,10000,-0.126714,120.655388,31.159332,花园路2355号,886874
阳光家园,3,10000,,120.940306,30.523809,百尺北路3号,890513
向阳新村,6,9852,-0.073189,120.553259,31.871107,梁丰路，近河东路,889546
盛大花园,22,9354,-0.020113,120.736408,30.780869,百墅路437号,890250
御景澜庭,1,11702,0.024066,120.871583,32.059051,友谊路，近永和路,917841
明珠花园,6,7000,-0.379653,120.789202,31.055971,西鹤路91号,887164
依山蝶院,2,9318,0.020368,120.719772,30.532425,碧云南路,892194
淀山湖上海岛庄园,24,17500,0.081582,120.945960,31.155139,锦商公路,883395
绿城玫瑰园(别墅),5,72217,0.032158,120.853176,31.440633,湖滨路3888号,884626
柏庐天下,137,8750,0.001947,120.962613,31.356300,普陀山路,883292
亚太花苑,11,10512,0.124692,120.820765,30.750167,凌公塘路2758号,890068
鸿悦府邸,3,5477,-0.009673,120.541941,32.146568,石庄路88号,995411
百岭公寓,3,17857,,120.966093,31.403395,紫竹路,883287
华盛广场,2,7272,-0.063007,120.788210,30.731596,商务大道,890146
云东公寓,80,11191,0.046228,120.798955,30.733580,由拳路，近双溪路,952907
诚恒世嘉,63,9139,-0.020262,120.725149,30.890554,北虹东路129号,797046
日月城三期中央世,1,11627,0.036090,120.118787,30.888527,外环北路742号,939122
瑾润九仰周庄,2,14285,0.012403,120.853942,31.124636,全福路,883724
天玺别墅,12,11617,0.067347,120.117155,30.960338,通湖路500号,939150
嘉宝花园莱茵苑,2,30859,0.228610,120.647479,31.269742,宝带东路350号,887497
高浜三村,1,12285,-0.284216,120.695008,31.352132,高浜街,888758
融创苏州壹号院,4,22222,0.064017,120.622243,31.191287,金碧街，近永旺路,888087
莲花小区,245,10869,0.007976,120.994401,31.054442,练西路2755弄,306889
凤凰城,15,7045,0.147207,120.409135,32.309431,绘园路489号,926274
中信花园,3,7878,-0.023730,120.930827,30.852600,车站北路,798066
光明御品,9,11217,0.047730,120.054118,30.904341,环太湖路,994847
爱法山水国际,22,6818,-0.013885,120.460022,32.520510,黄海大道西1号,925932
清水依瓦诺,2,18716,0.237946,120.982636,31.200083,锦淀路88号,883970
胥江一号别墅(别墅),18,12600,-0.043097,120.493069,31.241010,胥欣路221号,887902
富华苑,1,43396,0.058801,120.662577,31.304040,机场路1号,888345
嘉州美都二期欢快园,1,11590,0.074541,120.738604,30.783408,百墅路,926314
红旗新村,1,25142,-0.070124,120.613326,31.306832,三香路40号,885938
吴江上海城,1,14090,0.324248,120.641152,31.182029,仲英大道1088号,886824
一品江山,1,11666,0.049762,120.917869,31.943340,常青路,917660
东方名嘉(东区),3,13936,0.349342,120.939419,30.839014,晋阳东路,890353
新城域,59,8761,-0.095447,120.970059,31.339016,长江南路88号,884191
金城商苑,5,12725,-0.039115,120.964014,31.386146,人民南路34号,883686
大众湖滨花园东区(别墅),22,16402,0.010100,120.958678,30.826827,之江路,890347
金龙花园,1,48545,-0.006142,120.573762,31.295321,滨河路188号,886577
亚福江南春晓,8,8333,0.001683,120.902329,30.890640,窑兴路,635024
月河公寓(北区),1,6785,-0.167382,120.753124,30.777469,同乐路272号,890106
紫金花园,1,6989,-0.035601,120.859477,30.536435,招宝路300号,940420
梅花新村,6,27500,-0.031929,120.637143,31.344447,官渎路,885411
放鹤洲花园(北区),3,12083,,120.747682,30.749446,望鹤路36号,889772
博悦城,37,5675,-0.129658,120.969667,31.362492,中华园路,989846
淀滨新村,21,12923,-0.006572,120.973268,31.071199,岑中路96弄,652346
缔艺家园,13,8979,-0.031600,120.671071,30.520725,联合路525号,925380
正荣悦棠湾,149,9834,-0.005511,120.651922,30.893640,中心大道，近南环路,1022394
新桥花苑,6,13684,0.352976,120.956100,30.519064,新桥南路81号,890498
嘉华春晓,11,10731,-0.008684,120.939936,30.824398,农商路163号,890369
新东方商厦,1,9000,0.032821,120.755730,30.771434,禾兴南路833号,927339
皇马公寓,3,10000,-0.050603,120.725547,30.773114,常秀街,798238
七星花园,29,6845,-0.037136,120.829406,30.816761,兴星路,889948
兰花园,1,14154,,120.857140,31.123472,全功路202号,884684
都市华庭,1,5822,-0.167691,120.566025,32.386636,大司马路,918293
优山美地花园(别墅),1,17511,-0.201905,120.921942,31.944042,星湖大道1888号,917667
朝阳新村,8,15443,0.074819,120.963697,31.376115,合兴西路,883350
月河公寓(南区),1,7142,-0.077380,120.753214,30.777075,同乐路,890105
融创太湖印(别墅),16,9176,0.079275,120.120611,30.947999,震泽路,994849
天地华城,37,15581,0.154918,120.924757,31.388292,前进西路1188号,884094
长泰淀湖观园(别墅),109,27696,0.205065,120.974260,31.175128,锦耀路333号,884353
南浩街小区,1,13026,-0.269802,120.616037,31.308116,南浩街,885963
快乐颂,1,12727,-0.286163,120.931352,31.405573,园路2115号,883766
三香福郡,3,15483,-0.104356,120.598115,31.297508,桐泾路717号,885967
南通壹城九间堂山居,2,15277,,120.916429,31.950402,工农南路18号,917625
金域世家,140,11123,0.022945,120.664962,30.532158,硖仲路499号,1018750
丽景苑,13,46262,0.030587,120.638735,31.314705,干将东路636号,885861
周庄万盛园,10,11823,-0.024666,120.865228,31.115954,全福路138号,884388
星城洛洲,1,13095,0.053839,120.701179,30.518315,海州东路,891727
景尚墅,2,10625,0.225066,120.709216,30.783534,秀庄路,890226
江南新家园,34,6752,-0.160930,120.826554,30.824094,湘家荡大道,889873
禾众商业广场,18,9600,-0.015284,120.901916,30.835526,城西大道,890453
海景苑,9,7865,-0.055822,120.965404,30.533612,城东路,890475
逸景湾,1,9677,0.010231,120.946261,31.411153,萧林路,884273
南湖小区,86,8196,-0.045756,120.773893,30.754450,菱香路40号,889937
明珠花苑,1,15121,0.326869,120.856803,31.030501,临沪东路259号,887165
南方大厦,27,8766,-0.004486,120.568514,30.634042,永兴路2号,993022
锦荷佳苑,7,12500,0.001201,120.783843,31.649423,富泰路,884944
水岸家园,2,28519,-0.032319,120.612939,31.344893,总官堂路1160号,885424
盛泽国贸中心,1,9142,-0.078056,120.637848,30.903818,市场西路599号,1022391
淀湖芳华里,36,12222,-0.044783,120.992498,31.195575,新乐路2002号,883389
馨逸家园,59,11724,0.010341,120.928929,31.285143,江浦南路,884207
国贸仁皇,5,8428,-0.065839,120.084163,30.911713,青太路1455号,938994
枫泾新村三区,3,13333,0.001578,120.760649,31.653148,枫泾路,884807
西园新村,1,29859,,120.962094,31.386863,前浜,884546
智富城MIMON,7,7338,-0.043719,120.695384,30.765529,秀清路626号,890325
金溪三村,63,11475,-0.045420,120.930354,31.042053,金溪三村,818152
青城之恋,2,11724,-0.075540,120.968514,31.417216,萧林路,883950
久久小区,145,8333,-0.015361,120.795205,30.734400,双溪路,889891
爱丁堡(别墅),3,37790,-0.071932,120.733455,31.489335,湘太路98号,889182
大树花园(北区),28,7580,-0.073350,120.718791,30.768959,吴越路378号,890181
荣盛观湖景园,75,7954,-0.000628,120.833662,30.823423,兴民路,991787
朗诗未来街区四期,1,28953,0.100247,120.747966,31.379596,夷浜路,888254
柏盛园,3,12300,-0.012524,120.971707,31.370873,柏庐南路,883294
中央广场,1,11714,-0.154346,120.547545,31.016448,横扇大桥路,887134
托斯卡纳东泰花园,5,11154,0.329757,120.468021,31.139707,新市路518号 ,793145
嘉兴世界贸易中心,3,8717,0.049862,120.802746,30.743694,广益路，近云东路,927337
凌波苑,5,7444,-0.236121,120.774213,30.783640,凌塘路319号,889907
春江花苑,25,10000,0.090512,120.630413,30.496143,庆东路，近硖斜路,925378
天欣花苑,10,6355,-0.003294,120.820319,30.900832,兴贤东路,799974
太湖城仕公寓,104,13978,-0.007667,120.398422,31.224379,墅里路,887997
力维佳苑,1,9411,-0.204615,120.417602,30.874971,大中路218号,939264
春晖锦苑,17,9000,-0.111638,120.994015,31.402646,春晖路,883364
万联城,116,10526,0.128552,120.933918,30.824594,嘉善大道688号,890458
苏园,1,15970,-0.063123,120.520606,31.275323,向阳河路18号,887849
盈和花苑,3,8118,-0.144611,120.961265,30.917322,兴学路329号,607867
万达华府,44,13325,-0.094092,120.839077,32.041499,江海大道336号,917824
金洲海尚,78,11453,-0.024696,120.941722,30.548217,百尺北路，近华丰路,1010358
中梁吴越首府,1,11011,-0.130596,120.729248,30.749459,桐乡大道，近九九大街,927345
花园社区,2,10804,0.260530,120.743164,30.777860,东升路,889824
康桥名园,13,10112,0.049943,120.453944,30.448584,开元路,890957
盛世豪庭,4,12000,0.073922,120.703576,30.764772,聚贤路68号,890253
绿地江南华府,1,12820,-0.114029,120.653211,31.127313,中山南路,887066
翡翠名都(商住楼),6,10500,0.022595,120.985320,31.369811,合兴路，近长江南路,946537
新溪新村,15,10000,-0.343229,120.935139,31.725937,新溪路,885177
大地公寓,5,6808,-0.043148,120.755515,30.761781,砖桥街45号,889741
华府庄园,1,12465,,120.859970,31.393648,马鞍山路1999号,883595
